name,artist,album,release_date,tracks
Slow Dancing in a Burning Room,John Mayer,Continuum,2006-09-11,"['Waiting On the World to Change', ""I Don't Trust Myself (With Loving You)"", 'Belief', 'Gravity', 'The Heart of Life', 'Vultures', 'Stop This Train', 'Slow Dancing in a Burning Room', 'Bold as Love', 'Dreaming with a Broken Heart', 'In Repair', ""I'm Gonna Find Another You""]"
Hermoso Nombre,Hillsong en Español,El Eco De Su Voz,2017-04-28,"['El Eco De Su Voz', 'Amor Sin Comparación', 'Tu Gran Amor', 'Alabaré Al Señor (Anástasis)', 'Hermoso Nombre', 'Cielo Abierto (Agua Viva)', 'Que Sea La Luz', 'Con El Cielo', 'La Imagen De Dios', 'De Gracia En Gracia', 'Tu Amor Es Real']"
Desde Mi Interior,Hillsong en Español,Con Todo,2009-10-01,"['Para Exaltarte', 'Correré', 'Hosanna', 'Desde Mi Interior', 'Canción Del Desierto', 'En La Cruz', 'Rey Salvador', 'Poderoso Para Salvar', 'Soy Libre', 'Poderoso', 'Solo Cristo', 'Es Nuestro Dios', 'Eres Mi Fortaleza', 'Con Todo']"
Vasijas Rotas (Sublime Gracia),Hillsong en Español,En Esto Creo (Spanish),2015-08-07,"['Del Cielo Descendió', 'Vasijas Rotas (Sublime Gracia)', 'No Hay Otro Nombre', 'Mi Roca', 'En Esto Creo (El Credo)', 'Aquella Cruz', 'Calvario', 'Gracias Cristo', 'Cubierto Por Las Aguas (Me Levantaré)', 'Mi Todo', 'Océanos (Donde Mis Pies Pueden Fallar)', 'Vivo Estás', 'Vida Tú Me Das']"
Amor Sin Comparación,Hillsong en Español,El Eco De Su Voz,2017-04-28,"['El Eco De Su Voz', 'Amor Sin Comparación', 'Tu Gran Amor', 'Alabaré Al Señor (Anástasis)', 'Hermoso Nombre', 'Cielo Abierto (Agua Viva)', 'Que Sea La Luz', 'Con El Cielo', 'La Imagen De Dios', 'De Gracia En Gracia', 'Tu Amor Es Real']"
Waiting On the World to Change,John Mayer,Continuum,2006-09-11,"['Waiting On the World to Change', ""I Don't Trust Myself (With Loving You)"", 'Belief', 'Gravity', 'The Heart of Life', 'Vultures', 'Stop This Train', 'Slow Dancing in a Burning Room', 'Bold as Love', 'Dreaming with a Broken Heart', 'In Repair', ""I'm Gonna Find Another You""]"
Your Body Is a Wonderland,John Mayer,Room For Squares,2001-08-16,"['No Such Thing', 'Why Georgia', 'My Stupid Mouth', 'Your Body Is a Wonderland', 'Neon', 'City Love', '83', '3x5', 'Love Song for No One', 'Back to You', 'Great Indoors', 'Not Myself', ""St. Patrick's Day""]"
No Hay Otro Nombre,Hillsong en Español,En Esto Creo (Spanish),2015-08-07,"['Del Cielo Descendió', 'Vasijas Rotas (Sublime Gracia)', 'No Hay Otro Nombre', 'Mi Roca', 'En Esto Creo (El Credo)', 'Aquella Cruz', 'Calvario', 'Gracias Cristo', 'Cubierto Por Las Aguas (Me Levantaré)', 'Mi Todo', 'Océanos (Donde Mis Pies Pueden Fallar)', 'Vivo Estás', 'Vida Tú Me Das']"
Last Train Home,John Mayer,Sob Rock,2021-07-16,"['Last Train Home', ""Shouldn't Matter but It Does"", 'New Light', 'Why You No Love Me', 'Wild Blue', 'Shot in the Dark', 'I Guess I Just Feel Like', 'Til the Right One Comes', 'Carry Me Away', 'All I Want Is to Be With You']"
Mind Trick,Jamie Cullum,Catching Tales,2005-01-01,"['Get Your Way', 'London Skies', 'Photograph', 'I Only Have Eyes For You', 'Nothing I Do', 'Mind Trick', '21st Century Kid', ""I'm Glad There Is You"", 'Oh God', 'Catch The Sun', '7 Days To Change Your Life', 'Our Day Will Come', 'Back To The Ground', 'Fascinating Rhythm', 'My Yard']"
